Language Accuracy: 0.9788630694499146
NE Accuracy: 0.9688109161793372
Token	Gold Standard	Tagged Language	Named Entity	Evaluation
eso	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
I	Eng	Eng	O	Correct
promise	Eng	Eng	O	Correct
.	Punct	Punct	O	NA
Al	Spn	Spn	O	Correct
volver	Spn	Spn	O	Correct
del	Spn	Spn	O	Correct
mercado	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
“	Punct	Punct	O	NA
Descansó	Spn	Spn	O	Correct
su	Spn	Spn	O	Correct
mamá	Spn	Spn	O	Correct
a	Spn	Spn	O	Correct
las	Spn	Spn	O	Correct
10	Num	Num	O	NA
"	Punct	Punct	O	NA
read	Eng	Eng	O	Correct
the	Eng	Eng	O	Correct
message	Eng	Eng	O	Correct
on	Eng	Eng	O	Correct
a	Eng	Eng	O	Correct
little	Eng	Eng	O	Correct
scrap	Eng	Eng	O	Correct
of	Eng	Eng	O	Correct
paper	Eng	Eng	O	Correct
que	Spn	Spn	O	Correct
me	Spn	Spn	O	Correct
dieron	Spn	Spn	O	Correct
en	Spn	Spn	O	Correct
la	Spn	Spn	O	Correct
Recepción	Spn	Spn	LOCATION/MISC	Correct
del	Spn	Spn	LOCATION/MISC	Correct
Hotel	NamedEnt	Spn	LOCATION/MISC	Correct
Las	NamedEnt	Spn	LOCATION/MISC	Correct
Golondrinas	NamedEnt	Spn	LOCATION/MISC	Correct
.	Punct	Punct	O	NA
Así	Spn	Spn	O	Correct
supe	Spn	Spn	O	Correct
.	Punct	Punct	O	NA
Pero	Spn	Spn	O	Correct
porque	Spn	Spn	O	Correct
te	Spn	Spn	O	Correct
presentí	Spn	Spn	O	Correct
tan	Spn	Spn	O	Correct
fuerte	Spn	Spn	O	Correct
en	Spn	Spn	O	Correct
los	Spn	Spn	O	Correct
owl-	Eng	Eng	O	Correct
and	Eng	Eng	O	Correct
nardosigns	Mixed	Eng	O	NA
—	Punct	Punct	O	NA
tu	Spn	Spn	O	Correct
presencia	Spn	Spn	O	Correct
ghostly	Eng	Eng	O	Correct
yet	Eng	Eng	O	Correct
oddly	Eng	Eng	O	Correct
comforting	Eng	Eng	O	Correct
—	Punct	Punct	O	NA
like	Eng	Eng	O	Correct
the	Eng	Eng	O	Correct
long	Eng	Eng	O	Correct
shadow	Eng	Eng	O	Correct
cast	Eng	Eng	O	Correct
just	Eng	Eng	O	Correct
after	Eng	Eng	O	Correct
dusk	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
by	Eng	Eng	O	Correct
a	Eng	Eng	O	Correct
barn	Eng	Eng	O	Correct
owl	Eng	Eng	O	Correct
in	Eng	Eng	O	Correct
flight	Eng	Eng	O	Correct
over	Eng	Eng	O	Correct
the	Eng	Eng	O	Correct
abandoned	Eng	Eng	O	Correct
farm	Eng	Eng	O	Correct
buildings	Eng	Eng	O	Correct
en	Spn	Spn	O	Correct
el	Spn	Spn	O	Correct
campus	Eng	Eng	O	Correct
de	Spn	Spn	O	Correct
UCSC	NamedEnt	Eng	ORGANIZATION/ORGANIZATION	Correct
,	Punct	Punct	O	NA
where	Eng	Eng	O	Correct
you	Eng	Eng	O	Correct
lived	Eng	Eng	O	Correct
so	Eng	Eng	O	Correct
happily	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
tan	Spn	Spn	O	Correct
en	Spn	Spn	O	Correct
tu	Spn	Spn	O	Correct
elemento	Spn	Spn	O	Correct
for	Eng	Eng	O	Correct
years	Eng	Eng	O	Correct
—	Punct	Punct	O	NA
puedo	Spn	Spn	O	Correct
entender	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
puedo	Spn	Spn	O	Correct
hasta	Spn	Spn	O	Correct
aceptar	Spn	Spn	O	Correct
que	Spn	Spn	O	Correct
yo	Spn	Spn	O	Correct
esté	Spn	Spn	O	Correct
aquí	Spn	Spn	O	Correct
en	Spn	Spn	O	Correct
México	NamedEnt	Spn	O/LOCATION	Correct
,	Punct	Punct	O	NA
I	Eng	Eng	O/MISC	Correct
am	Eng	Eng	O/MISC	Correct
here	Eng	Eng	O	Correct
in	Eng	Eng	O	Correct
your	Eng	Eng	O	Correct
Mexico	NamedEnt	Spn	LOCATION/LOCATION	Correct
once	Eng	Eng	O	Correct
again	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
y	Spn	Spn	O	Correct
tú	Spn	Spn	O	Correct
tan	Spn	Spn	O	Correct
del	Spn	Spn	O	Correct
otro	Spn	Spn	O	Correct
lado	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
ahora	Spn	Spn	O	Correct
para	Spn	Spn	O	Correct
siempre	Spn	Spn	O	Correct
.	Punct	Punct	O	NA
So	Eng	Eng	O	Correct
descansa	Spn	Spn	O	Correct
ahora	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
Mom	Eng	Eng	O	Correct
.	Punct	Punct	O	NA
Y	Spn	Spn	O	Correct
ahí	Spn	Spn	O	Correct
te	Spn	Spn	O	Correct
wacho	Mixed	Eng	O	NA
on	Eng	Eng	O	Correct
the	Eng	Eng	O	Correct
other	Eng	Eng	O	Correct
side	Eng	Eng	O	Correct
.	Punct	Punct	O	NA
VIII	Num	Eng	PERSON/O	NA
Route	Eng	Eng	O	Correct
66	Num	Num	O	NA
Crónica	Spn	Spn	ORGANIZATION/O	Correct
19	Num	Num	O	NA
septiembre	Spn	Spn	O	Correct
2001	Num	Num	O	NA
Los	NamedEnt	Spn	LOCATION/O	Correct
Angeles	NamedEnt	Spn	LOCATION/MISC	Correct
For	Eng	Eng	O/MISC	Correct
Paul	NamedEnt	Eng	PERSON/MISC	Correct
Saint-Amour	NamedEnt	Eng	PERSON/MISC	Correct
Stunned	Eng	Eng	O/MISC	Correct
into	Eng	Eng	O	Correct
silence	Eng	Eng	O	Correct
.	Punct	Punct	O	NA
¿Qué	Spn	Spn	O	Correct
se	Spn	Spn	O	Correct
puede	Spn	Spn	O	Correct
escribir	Spn	Spn	O	Correct
ahora	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
in	Eng	Eng	O	Correct
the	Eng	Eng	O	Correct
wake	Eng	Eng	O	Correct
of	Eng	Eng	O	Correct
the	Eng	Eng	O	Correct
blast	Eng	Eng	O	Correct
del	Spn	Spn	O	Correct
11	Num	Num	O	NA
de	Spn	Spn	O	Correct
septiembre	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
esa	Spn	Spn	O	Correct
fecha	Spn	Spn	O	Correct
already	Eng	Eng	O	Correct
etched	Eng	Eng	O	Correct
into	Eng	Eng	O	Correct
my	Eng	Eng	O	Correct
conciencia	Spn	Spn	O	Correct
as	Eng	Eng	O	Correct
the	Eng	Eng	O	Correct
aniversario	Spn	Spn	O	Correct
of	Eng	Eng	O	Correct
Pinochet’s	NamedEnt	Spn	O	Incorrect
golpe	Spn	Spn	O	Correct
contra	Spn	Spn	O	Correct
Allende	NamedEnt	Spn	O/PERSON	Correct
and	Eng	Eng	O	Correct
democracy	Eng	Eng	O	Correct
en	Spn	Spn	O	Correct
Chile	NamedEnt	Eng	LOCATION/LOCATION	Correct
?	Punct	Punct	O	NA
Y	Spn	Spn	O	Correct
.	Punct	Punct	O	NA
.	Punct	Punct	O	NA
.	Punct	Punct	O	NA
(	Punct	Punct	O	NA
pausa	Spn	Spn	O	Correct
porteña	Spn	Spn	O	Correct
)	Punct	Punct	O	NA
no	Spn	Spn	O	Correct
.	Punct	Punct	O	NA
Al	Spn	Spn	PERSON/O	Correct
contrario	Spn	Spn	O	Correct
:	Punct	Punct	O	NA
hayque	SpnNoSpace	Spn	O	NA
escribir	Spn	Spn	O	Correct
.	Punct	Punct	O	NA
Besides	Eng	Eng	O/PERSON	Correct
,	Punct	Punct	O	NA
I	Eng	Eng	O	Correct
am	Eng	Eng	O	Correct
beginning	Eng	Eng	O	Correct
to	Eng	Eng	O	Correct
discover	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
desde	Spn	Spn	O	Correct
que	Spn	Spn	O	Correct
estoy	Spn	Spn	O	Correct
de	Spn	Spn	O	Correct
regreso	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
here	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
in	Eng	Eng	O	Correct
my	Eng	Eng	O	Correct
(	Punct	Punct	O	NA
?	Spn	Punct	O	Incorrect
)	Punct	Punct	O	NA
Califaztlán	NamedEnt	Spn	O	Incorrect
:	Punct	Punct	O	NA
I	Eng	Eng	O	Correct
can	Eng	Eng	O	Correct
write	Eng	Eng	O	Correct
anywhere	Eng	Eng	O	Correct
.	Punct	Punct	O	NA
Adiós	Spn	Spn	O	Correct
fetiches	Eng	Spn	O	Incorrect
,	Punct	Punct	O	NA
que	Spn	Spn	O	Correct
only	Eng	Eng	O	Correct
with	Eng	Eng	O	Correct
that	Eng	Eng	O	Correct
perfect	Eng	Eng	O	Correct
pale	Eng	Spn	O	Incorrect
blue	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
fuchsia-ink	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
bevelled	Eng	Eng	O	Correct
felt-tip	Eng	Eng	O	Correct
pen	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
in	Eng	Eng	O	Correct
a	Eng	Eng	O	Correct
black	Eng	Eng	O	Correct
and	Eng	Eng	O	Correct
red	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
lined	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
Chinese	Eng	Eng	O/PERSON	Correct
cuaderno	Spn	Spn	O	Correct
bought	Eng	Eng	O/MISC	Correct
at	Eng	Eng	O/MISC	Correct
Little	NamedEnt	Eng	O/MISC	Correct
Ricky’s	NamedEnt	Eng	O/MISC	Correct
on	Eng	Eng	O	Correct
the	Eng	Eng	O	Correct
Lower	NamedEnt	Eng	LOCATION/PERSON	Correct
East	NamedEnt	Eng	LOCATION/PERSON	Correct
Side	NamedEnt	Eng	LOCATION/PERSON	Correct
,	Punct	Punct	O	NA
que	Spn	Spn	O	Correct
sólo	Spn	Spn	O	Correct
on	Eng	Eng	O	Correct
the	Eng	Eng	O	Correct
30	Num	Num	O	NA
Stockton	NamedEnt	Eng	ORGANIZATION/PERSON	Correct
bus	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
careening	Eng	Eng	O	Correct
por	Spn	Spn	O	Correct
el	Spn	Spn	O	Correct
centro	Spn	Spn	O	Correct
de	Spn	Spn	O	Correct
San	NamedEnt	Spn	LOCATION/LOCATION	Correct
Francisco	NamedEnt	Spn	LOCATION/LOCATION	Correct
toward	Eng	Eng	O/LOCATION	Correct
Union	NamedEnt	Eng	LOCATION/LOCATION	Correct
Square	NamedEnt	Eng	LOCATION/LOCATION	Correct
and	Eng	Eng	O	Correct
the	Eng	Eng	O	Correct
BART	NamedEnt	Eng	ORGANIZATION/ORGANIZATION	Correct
station	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
or	Eng	Eng	O	Correct
—	Punct	Punct	O	NA
a	Eng	Eng	O	Correct
more	Eng	Eng	O	Correct
recent	Eng	Eng	O	Correct
superstition	Eng	Eng	O	Correct
—	Punct	Punct	O	NA
que	Spn	Spn	O	Correct
sólo	Spn	Spn	O	Correct
con	Spn	Spn	O	Correct
mi	Spn	Spn	O	Correct
vista	Spn	Spn	O	Correct
del	Spn	Spn	O	Correct
Jardín	NamedEnt	Spn	O/ORGANIZATION	Correct
Botánico	NamedEnt	Spn	O/ORGANIZATION	Correct
en	Spn	Spn	O	Correct
Buenos	NamedEnt	Spn	LOCATION/LOCATION	Correct
Aires	NamedEnt	Spn	LOCATION/LOCATION	Correct
will	Eng	Eng	O/LOCATION	Correct
the	Eng	Eng	O	Correct
words	Eng	Eng	O	Correct
come	Eng	Eng	O	Correct
.	Punct	Punct	O	NA
So	Eng	Eng	O	Correct
here	Eng	Eng	O	Correct
I	Eng	Eng	O/MISC	Correct
am	Eng	Eng	O/MISC	Correct
,	Punct	Punct	O	NA
gente	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
dizque	NonStSpn	Spn	O	NA
back	Eng	Eng	O	Correct
home	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
just	Eng	Eng	O	Correct
north	Eng	Eng	O	Correct
of	Eng	Eng	O	Correct
Route	NamedEnt	Eng	O/MISC	Correct
66	NamedEnt	Num	O/MISC	Correct
—	Punct	Punct	O	NA
la	Spn	Spn	O/MISC	Correct
Foothill	NamedEnt	Eng	O/MISC	Correct
Blvd.	NamedEnt	Spn	O/MISC	Correct
—	Punct	Punct	O	NA
right	Eng	Eng	O	Correct
on	Eng	Eng	O	Correct
the	Eng	Eng	O	Correct
easternmost	Eng	Eng	O	Correct
edge	Eng	Eng	O	Correct
del	Spn	Spn	O	Correct
condado	Spn	Spn	O	Correct
de	Spn	Spn	O	Correct
Los	NamedEnt	Spn	LOCATION/LOCATION	Correct
Angeles	NamedEnt	Spn	LOCATION/LOCATION	Correct
,	Punct	Punct	O	NA
right	Eng	Eng	O	Correct
smack	Eng	Eng	O	Correct
on	Eng	Eng	O	Correct
the	Eng	Eng	O	Correct
edge	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
también	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
del	Spn	Spn	O	Correct
Evil	Eng	Eng	O/ORGANIZATION	Correct
—	Punct	Punct	O	NA
que	Spn	Spn	O	Correct
digamos	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
del	Spn	Spn	O	Correct
InlandEmpire	NamedEnt	Eng	O/MISC	Correct
.	Punct	Punct	O	NA
Yeah	Eng	Eng	O/PERSON	Correct
,	Punct	Punct	O	NA
back	Eng	Eng	O	Correct
home	Eng	Eng	O	Correct
in	Eng	Eng	O	Correct
the	Eng	Eng	O	Correct
detritus	Eng	Spn	O	Incorrect
de	Spn	Spn	O	Correct
las	Spn	Spn	O	Correct
refacciones	Spn	Spn	O	Correct
that	Eng	Eng	O	Correct
have	Eng	Eng	O	Correct
been	Eng	Eng	O	Correct
going	Eng	Eng	O	Correct
on	Eng	Eng	O	Correct
forever	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
it	Eng	Eng	O	Correct
seems	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
to	Eng	Eng	O	Correct
my	Eng	Eng	O	Correct
fire-sign	Eng	Eng	O	Correct
impaciencia	Spn	Spn	O	Correct
(	Punct	Punct	O	NA
pero	Spn	Spn	O	Correct
en	Spn	Spn	O	Correct
realidad	Spn	Spn	O	Correct
it’s	Eng	Eng	O	Correct
been	Eng	Eng	O	Correct
apenitas	Spn	Spn	O	Correct
4	Num	Num	O	NA
semanas	Spn	Spn	O	Correct
)	Punct	Punct	O	NA
.	Punct	Punct	O	NA
Amidst	Eng	Eng	O	Correct
the	Eng	Eng	O	Correct
cement	Eng	Eng	O	Correct
dust	Eng	Eng	O	Correct
from	Eng	Eng	O	Correct
the	Eng	Eng	O	Correct
“	Punct	Punct	O	NA
pampa	Spn	Spn	O	Correct
"	Punct	Punct	O	NA
pattern	Eng	Eng	O	Correct
ceramic	Eng	Eng	O	Correct
floor	Eng	Eng	O	Correct
tiles	Eng	Eng	O	Correct
manufactured	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
te	Spn	Spn	O	Correct
lo	Spn	Spn	O	Correct
juro	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
en	Spn	Spn	O	Correct
la	Spn	Spn	O	Correct
Fábrica	NamedEnt	Spn	LOCATION/ORGANIZATION	Correct
San	NamedEnt	Spn	LOCATION/ORGANIZATION	Correct
Lorenzo	NamedEnt	Spn	LOCATION/ORGANIZATION	Correct
,	Punct	Punct	O	NA
just	Eng	Eng	O	Correct
outside	Eng	Eng	O	Correct
Buenos	NamedEnt	Spn	LOCATION/LOCATION	Correct
Aires	NamedEnt	Spn	LOCATION/LOCATION	Correct
pero	Spn	Spn	O	Correct
purchased	Eng	Eng	O	Correct
at	Eng	Eng	O	Correct
“	Punct	Punct	O	NA
House	Eng	Eng	O/MISC	Correct
2	Num	Num	O/MISC	NA
Home	Eng	Eng	O/MISC	Correct
,	Punct	Punct	O	NA
